codigo_catmat,descricao_produto,unidade_apresentacao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
331223,"TERIPARATIDA, CONCENTRAÇÃO:250 MCG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:COM SISTEMA DE APLICAÇÃO","TUBETE 2,40 ML",52,161658165.044,67765.0,23,12,2385.5702065077844
399996,"PAZOPANIBE, CONCENTRAÇÃO:400 MG",COMPRIMIDO,43,161262759.647,1164456.0,17,22,138.48763684243974
358123,"RANIBIZUMABE, CONCENTRAÇÃO:10 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICA ADICIONAL:C/SISTEMA DE APLICAÇÃO","FRASCO 0,23 ML",46,159867887.3052,67278.0,30,22,2376.228296102738
436778,"NIVOLUMABE, CONCENTRAÇÃO:10 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","FRASCO 4,00 ML",21,159689479.72,45040.0,10,3,3545.503546181172
267140,"AZITROMICINA, DOSAGEM:500 MG",COMPRIMIDO,1089,157799042.7704,173992509.0,486,298,0.9069300953088733
427613,"BELIMUMABE, CONCENTRAÇÃO :120 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,25,156450212.6136,183830.0,13,14,851.0591993341674
267618,"CARBAMAZEPINA, DOSAGEM:200 MG",COMPRIMIDO,985,155200495.5883,982951602.0,446,257,0.15789230647014094
455395,"USTEQUINUMABE, CONCENTRAÇÃO:5 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","FRASCO 26,00 ML",20,154819677.218,13188.0,11,8,11739.435639824082
267087,"GENFIBROZILA, DOSAGEM:900 MG",COMPRIMIDO,20,154132389.305,69177205.0,11,15,2.228080612753869
457888,"RIBOCICLIBE, COMPOSIÇÃO:SUCCINATO, CONCENTRAÇÃO:200 MG",COMPRIMIDO,29,151315846.35,605940.0,12,11,249.72084092484403
268160,"OMEPRAZOL, CONCENTRAÇÃO:40 MG, USO:INJETÁVEL",FRASCO-AMPOLA,752,150556475.1431,14093442.0,361,270,10.682732801759853
271217,"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:500MG + 125MG",COMPRIMIDO,646,150378676.3166,130585447.0,320,204,1.1515730104029127
292237,"MESALAZINA, CONCENTRAÇÃO:400 MG",COMPRIMIDO,39,149310973.8016,32598243.0,20,25,4.580338081460403
300745,"ENZIMAS PANCREÁTICAS, PRINCÍPIO ATIVO:PANCREATINA ( AMILASE + LIPASE + PROTEASE ), CONCENTRAÇÃO:25.000 UI",CÁPSULA,28,148445873.07,59019469.0,15,12,2.515201772994603
441461,"DARATUMUMABE, CONCENTRAÇÃO:20 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","FRASCO 20,00 ML",14,146508503.15,25773.0,8,4,5684.57312497575
448841,"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:50 MG/ML + 12,5 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL","FRASCO 100,00 ML",87,146459669.8756,2411361.0,60,59,60.737347031655574
417811,"TAFAMIDIS, CONCENTRAÇÃO:20 MG",CÁPSULA,22,146047901.46,188634.0,8,9,774.2395403797831
427614,"BELIMUMABE, CONCENTRAÇÃO :400 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,27,143408186.43,51015.0,15,13,2811.098430461629
267666,"FUROSEMIDA, COMPOSIÇÃO:10 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL","AMPOLA 2,00 ML",869,142798696.1252,254484248.0,463,316,0.5611298037008562
284106,"RISPERIDONA, DOSAGEM:1 MG/ML, USO:SOLUÇÃO ORAL, COM PIPETA DOSADORA","FRASCO 30,00 ML",451,141469727.2718,26424109.0,239,172,5.3538125834933545
434252,"PIRFENIDONA, CONCENTRAÇÃO:267 MG",CÁPSULA,38,140491416.714,4408503.0,25,18,31.868281980073505
433101,"CEFTAROLINA, COMPOSIÇÃO:FOSAMILA, CONCENTRAÇÃO:600 MG, FORMA FARMACÊUTICA:PÓ P/ PREPARAÇÃO EXTEMPORÂNEA",FRASCO-AMPOLA,6,140158923.32,607004.0,3,5,230.90280017924098
