municipio_uf,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
JARAGUARI / MS,69,50599.6,5670.0,1,2,8.924091710758377
LIMEIRA / SP,1,47460.0,420000.0,1,1,0.113
NOVA ESPERANCA DO SUL / RS,16,46963.2,249000.0,1,3,0.18860722891566264
PIRACICABA / SP,8,46158.0,38950.0,1,5,1.1850577663671373
BOCA DA MATA / AL,4,45857.0,4200.0,1,2,10.918333333333333
LUZILANDIA / PI,7,45766.0,117500.0,1,1,0.38949787234042554
EMILIANOPOLIS / SP,24,44863.698,42070.0,1,7,1.0664059424768242
XINGUARA / PA,17,44026.074,1290.0,1,2,34.12873953488372
CARUARU / PE,1,41446.0,1219000.0,1,1,0.034
IBITIARA / BA,25,40463.0,706650.0,1,2,0.05726031274322508
AGUA PRETA / PE,7,39595.0,30000.0,1,1,1.3198333333333334
CANAVIEIRA / PI,22,39361.48,10712.0,1,2,3.674522031366692
PEROLA / PR,129,37267.03,11132.0,1,3,3.3477389507725475
COLIDER / MT,19,37264.0,19152.0,1,2,1.9456975772765246
PIRAI / RJ,22,37247.35,4404.0,1,1,8.457618074477747
AQUIDAUANA / MS,2,34400.0,520000.0,1,1,0.06615384615384616
TIJUCAS DO SUL / PR,12,33960.33,17.0,1,6,1997.6664705882354
CACIMBA DE DENTRO / PB,28,29752.4,217900.0,1,2,0.13654153281321707
RIO NEGRO / PR,15,28287.0,65166.0,1,5,0.43407605192892
BOM SUCESSO / PB,55,26115.53,18688.0,1,2,1.397449165239726
TACIMA / PB,56,24996.3,65500.0,1,1,0.38162290076335875
DOMINGOS MOURAO / PI,3,24186.0,105600.0,1,1,0.2290340909090909
UBIRATA / PR,18,23440.06,108876.0,1,2,0.21529134060766378
MANOEL EMIDIO / PI,72,23040.6,8007.0,1,2,2.877557137504683
BANDEIRANTES / MS,22,22742.46,7452.0,1,2,3.0518599033816423
CERRO GRANDE DO SUL / RS,8,22035.9,34210.0,1,5,0.644136217480269
RIBEIRAO BONITO / SP,30,20233.24,78764.0,1,8,0.256884363414758
ISAIAS COELHO / PI,11,19666.0,101800.0,1,1,0.19318271119842828
FELIZ / RS,2,19463.6,110120.0,1,2,0.1767490010897203
GURINHEM / PB,5,18036.25,395.0,1,1,45.66139240506329
SAO PEDRO DO IGUACU / PR,19,15773.42,30785.0,1,8,0.5123735585512424
EMBU-GUACU / SP,2,15663.96,8502.0,1,1,1.8423853211009174
CAAPORA / PB,1,15000.0,100000.0,1,1,0.15
DESCALVADO / SP,1,13925.23,11.0,1,1,1265.93
QUINTA DO SOL / PR,22,13300.3,41870.0,1,6,0.3176570336756627
QUEIMADA NOVA / PI,26,11612.6,11924.0,1,1,0.9738846024823885
CRUZ DO ESPIRITO SANTO / PB,119,11584.34,2758600.0,1,1,0.004199354745160588
ACAUA / PI,30,11496.27,46068.0,1,2,0.24955001302422508
SAO ROQUE DE MINAS / MG,2,9600.0,8.0,1,1,1200.0
COLONIA LEOPOLDINA / AL,4,9227.5,16950.0,1,3,0.5443952802359882
ALTA FLORESTA D'OESTE / RO,13,9198.19,451.0,1,3,20.39509977827051
JAPI / RN,1,9000.0,6.0,1,1,1500.0
TRES BARRAS DO PARANA / PR,2,8360.72,200.0,1,1,41.803599999999996
JACARE DOS HOMENS / AL,6,7929.6,46170.0,1,1,0.17174788823911633
CAMUTANGA / PE,1,7520.0,1000.0,1,1,7.52
SAO PEDRO DA ALDEIA / RJ,2,6392.5,32250.0,1,1,0.1982170542635659
DIVINA PASTORA / SE,6,5241.0,33400.0,1,4,0.15691616766467065
VERA CRUZ / SP,2,5079.75,20175.0,1,2,0.2517843866171004
IUNA / ES,1,4900.0,100000.0,1,1,0.049
CASSILANDIA / MS,2,4440.0,125000.0,1,1,0.03552
TEOTONIO VILELA / AL,2,3720.0,19000.0,1,1,0.1957894736842105
SELVIRIA / MS,4,3551.0,15500.0,1,1,0.22909677419354837
OROS / CE,2,3533.4,520.0,1,1,6.795
INAJA / PR,21,3462.13,391.0,1,1,8.85455242966752
PARNAGUA / PI,5,3425.3,12400.0,1,1,0.27623387096774193
PONTA PORA / MS,1,3357.0,300.0,1,1,11.19
PORTO MURTINHO / MS,5,3148.9,3480.0,1,4,0.9048563218390805
FRANCINOPOLIS / PI,2,3147.0,1300.0,1,1,2.420769230769231
SANTA CRUZ DOS MILAGRES / PI,2,3010.0,2500.0,1,1,1.204
VENDA NOVA DO IMIGRANTE / ES,1,2370.0,50000.0,1,1,0.0474
SANTA ROSA DE VITERBO / SP,1,2100.0,3000.0,1,1,0.7
CAFEZAL DO SUL / PR,4,1815.5,1350.0,1,2,1.344814814814815
NANTES / SP,5,1525.8,2630.0,1,1,0.5801520912547529
FLEXEIRAS / AL,1,1080.0,6000.0,1,1,0.18
RANCHO ALEGRE D'OESTE / PR,3,960.0,6250.0,1,2,0.1536
ITABUNA / BA,1,315.0,350.0,1,1,0.9
ITUIUTABA / MG,1,278.08,176.0,1,1,1.5799999999999998
PEDRO OSORIO / RS,2,212.315,40.0,1,2,5.307875
SANTANA DA BOA VISTA / RS,4,186.9,150.0,1,2,1.246
CAJAZEIRAS DO PIAUI / PI,1,177.5,50.0,1,1,3.55
PIUMA / ES,1,153.0,1000.0,1,1,0.153
NOVA ALIANCA DO IVAI / PR,1,81.6,20.0,1,1,4.08
PRINCESA ISABEL / PB,1,8.0,100.0,1,1,0.08
SANTA MARIA DE JETIBA / ES,1,0.0022,1.0,1,1,0.0022

