instituicao_id,instituicao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
04589955000187,FUNDO MUNICIPAL DE SAUDE DE AQUIDAUANA,2,34400.0,520000.0,1,1,0.06615384615384616
76105584000121,MUNICIPIO DE TIJUCAS DO SUL,12,33960.33,17.0,1,6,1997.6664705882354
46374500001751,SECRETARIA DE ESTADO DA SAUDE,40,33323.146,43123.0,1,24,0.7727464694014795
01612453000131,MUNICIPIO DE ARIRANHA DO IVAI,43,32224.5,63300.0,1,9,0.5090758293838863
08891830000168,MUNICIPIO DE SERRA GRANDE,6,31232.0,9100.0,1,2,3.432087912087912
08929648000159,MUNICIPIO DE CACIMBA DE DENTRO,28,29752.4,217900.0,1,2,0.13654153281321707
82892282000143,MUNICIPIO DE FLORIANOPOLIS,16,29622.696,2580.0,1,6,11.48166511627907
76002641000147,MUNICIPIO DE RIO NEGRO,15,28287.0,65166.0,1,5,0.43407605192892
12403050000107,FUNDO MUNICIPAL DE SAUDE - FMS,55,26115.53,18688.0,1,2,1.397449165239726
11907806000184,FUNDO MUNICIPAL DE SAUDE DE TACIMA,56,24996.3,65500.0,1,1,0.38162290076335875
03118011000169,MUNICIPIO DE DOMINGOS MOURAO - SECRETARIA MUNICIPAL DE SAUDE,3,24186.0,105600.0,1,1,0.2290340909090909
76950096000110,MUNICIPIO DE UBIRATA,18,23440.06,108876.0,1,2,0.21529134060766378
06554125000220,MUNICIPIO DE MANOEL EMIDIO,72,23040.6,8007.0,1,2,2.877557137504683
76205970000195,MUNICIPIO DE LARANJEIRAS DO SUL,2,22789.25,7500.0,1,2,3.0385666666666666
18229151000181,FUNDO MUNICIPAL DE SAUDE DE BANDEIRANTES MS,22,22742.46,7452.0,1,2,3.0518599033816423
76247337000160,MUNICIPIO DE ICARAIMA,16,22427.771,7020.0,1,4,3.1948391737891737
92324748000168,MUNICIPIO DE CERRO GRANDE DO SUL,8,22035.9,34210.0,1,5,0.644136217480269
45355914000103,MUNICIPIO DE RIBEIRAO BONITO,30,20233.24,78764.0,1,8,0.256884363414758
11837925000108,FUNDO MUNICIPAL DE SAUDE,5,19789.0,1800.0,1,1,10.99388888888889
12802079000153,FUNDO MUNICIPAL DE SAUDE DE ISAIAS COELHO,11,19666.0,101800.0,1,1,0.19318271119842828
87838330000139,MUNICIPIO DE FELIZ,2,19463.6,110120.0,1,2,0.1767490010897203
11739873000137,FMS DE GURINHEM,5,18036.25,395.0,1,1,45.66139240506329
01612553000168,MUNICIPIO DE SOBRADO,7,16831.0,25060.0,1,2,0.6716280925778132
09258961000175,FUNDO MUNICIPAL DE SAUDE DE SAO PEDRO DO IGUACU,19,15773.42,30785.0,1,8,0.5123735585512424
46523148000101,MUNICIPIO DE EMBU-GUACU,2,15663.96,8502.0,1,1,1.8423853211009174
10975044000190,FUNDO MUNICIPAL DE SAUDE - FMS,1,15000.0,100000.0,1,1,0.15
46732442000123,MUNICIPIO DE DESCALVADO,1,13925.23,11.0,1,1,1265.93
10380316000100,FUNDO MUNICIPAL DE SAUDE DE QUINTA DO SOL,22,13300.3,41870.0,1,6,0.3176570336756627
13791643000142,FUNDO MUNICIPAL DE SAUDE,26,11612.6,11924.0,1,1,0.9738846024823885
23014200000107,FUNDO MUNICIPAL DE SAUDE DE CRUZ DO ESPIRITO SANTO,119,11584.34,2758600.0,1,1,0.004199354745160588
03961246000118,MUNICIPIO DE ACAUA - SECRETARIA DE SAUDE E DE ASSISTENCIA SOCIAL,30,11496.27,46068.0,1,2,0.24955001302422508
79151312000156,UNIVERSIDADE ESTADUAL DE MARINGA,1,10332.0,1200.0,1,1,8.61
14164659000198,FUNDO MUNICIPAL DE SAUDE DE SAO ROQUE DE MINAS,2,9600.0,8.0,1,1,1200.0
12332987000120,MUNICIPIO DE COLONIA LEOPOLDINA,4,9227.5,16950.0,1,3,0.5443952802359882
08159071000143,MUNICIPIO DE JAPI,1,9000.0,6.0,1,1,1500.0
78121936000168,MUNICIPIO DE TRES BARRAS DO PARANA,2,8360.72,200.0,1,1,41.803599999999996
08881666000108,MUNICIPIO DE SALGADINHO,64,8322.4265,17112.0,1,4,0.48635030972417015
12342368000117,FUNDO MUNICIPAL DE SAUDE DE JACARE DOS HOMENS,6,7929.6,46170.0,1,1,0.17174788823911633
11348486000170,FUNDO MUNICIPAL DE SAUDE,1,7520.0,1000.0,1,1,7.52
04182700000103,FUNDO MUNICIPAL DE SAUDE,2,6392.5,32250.0,1,1,0.1982170542635659
13601247000105,FUNDO MUNICIPAL DE SAUDE,39,6126.1541,34609.0,1,6,0.17701043370221617
11544537000139,FUNDO MUNICIPAL DE SAUDE,6,5241.0,33400.0,1,4,0.15691616766467065
72887078000180,MUNICIPIO DE VERA CRUZ,2,5079.75,20175.0,1,2,0.2517843866171004
10700103000118,FUNDO MUNICIPAL DA SAUDE,1,4900.0,100000.0,1,1,0.049
14540893000172,FUNDO MUNICIPAL DE SAUDE DE CASSILANDIA-MS,2,4440.0,125000.0,1,1,0.03552
08061295000118,CONSORCIO METROPOLITANO DE SAUDE DO PARANA - COMESP,4,3808.8,336.0,1,1,11.335714285714285
12842829000110,MUNICIPIO DE TEOTONIO VILELA,2,3720.0,19000.0,1,1,0.1957894736842105
08790172000118,MUNICIPIO DE SERRARIA,15,3582.26,20911.0,1,2,0.17130983692793267
10530745000116,FUNDO MUNICIPAL DE SAUDE,4,3551.0,15500.0,1,1,0.22909677419354837
11782445000197,FUNDO MUNICIPAL DE SAUDE DE OROS,2,3533.4,520.0,1,1,6.795
09457349000121,FUNDO MUNICIPAL DE SAUDE DE INAJA PARANA,21,3462.13,391.0,1,1,8.85455242966752
02304966000148,MUNICIPIO DE PARNAGUA - SECRETARIA DE SAUDE,5,3425.3,12400.0,1,1,0.27623387096774193
11084263000142,FUNDO MUNICIPAL DE SAUDE,1,3357.0,300.0,1,1,11.19
00394544004334,MINISTERIO DA SAUDE,1,3276.0,21000.0,1,1,0.156
11160486000141,FUNDO MUNICIPAL DE SAUDE,5,3148.9,3480.0,1,4,0.9048563218390805
06554919000103,MUNICIPIO DE FRANCINOPOLIS,2,3147.0,1300.0,1,1,2.420769230769231
11307575000178,FUNDO MUNICIPAL DE SAUDE,2,3010.0,2500.0,1,1,1.204
14744834000116,FUNDO MUNICIPAL DE SAUDE,1,2370.0,50000.0,1,1,0.0474
45368545000193,MUNICIPIO DE SANTA ROSA DE VITERBO,1,2100.0,3000.0,1,1,0.7
00394429000968,COMANDO DA AERONAUTICA,2,1929.0,400.0,1,2,4.8225
09417876000102,FUNDO MUNICIPAL DE SAUDE DE CAFEZAL DO SUL,4,1815.5,1350.0,1,2,1.344814814814815
13887045000171,FUNDO MUNICIPAL DE SAUDE DE NANTES,5,1525.8,2630.0,1,1,0.5801520912547529
11895474000165,FUNDO MUNICIPAL DE SAUDE,1,1080.0,6000.0,1,1,0.18
04394805000118,MUNICIPIO DE ROLIM DE MOURA,2,1068.0,1600.0,1,1,0.6675
63761969000103,MUNICIPIO DE CASTANHEIRAS,2,1030.0,510.0,1,2,2.019607843137255
15718459000100,CONSORCIO INTERMUNICIPAL DA REDE DE URGENCIAS E EMERGENCIAS DO NOROESTE DO PARANA - CIUENP,2,988.65,3500.0,1,1,0.28247142857142854
02125685000128,HOSPITAL REGIONAL DE MATO GROSSO DO SUL ROSA PEDROSSIAN,1,536.25,125.0,1,1,4.29
14813806000103,FUNDO MUNICIPAL DE SAUDE DE AGUA DOCE DO NORTE,1,499.0,500.0,1,1,0.998
08218991000195,FUNDO MUNICIPAL DE SAUDE DE ITABUNA - SMS,1,315.0,350.0,1,1,0.9
18457218000135,MUNICIPIO DE ITUIUTABA,1,278.08,176.0,1,1,1.5799999999999998
13556480000113,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PEDRO OSORIO - RS,2,212.315,40.0,1,2,5.307875
88141460000180,MUNICIPIO DE SANTANA DA BOA VISTA,4,186.9,150.0,1,2,1.246
04384268000125,MUNICIPIO DE CAJAZEIRAS DO PIAUI - SECRETARIA DE SAUDE E PROMOCAO SOCIAL,1,177.5,50.0,1,1,3.55
14801768000179,FUNDO MUNICIPAL DE SAUDE DE PIUMA,1,153.0,1000.0,1,1,0.153
76413061000142,MUNICIPIO DE NOVA ALIANCA DO IVAI,1,81.6,20.0,1,1,4.08
10473821000107,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PRINCESA ISABEL,1,8.0,100.0,1,1,0.08
13917262000167,FUNDO MUNICIPAL DE SAUDE DE SANTA MARIA DE JETIBA,1,0.0022,1.0,1,1,0.0022

