fabricante_id,fabricante,ocorrencias,rotulo
89028575000800,OLVEBRA INDUSTRIAL S/A EM RECUPERACAO JUDICIAL,1,OLVEBRA INDUSTRIAL S/A E [M2327]
89738173000115,SANREMO S/A,32,SANREMO S/A [M2328]
89982037000176,MAX CIRURGICA COMERCIO DE MATERIAIS HOSPITALARES LTDA,13,MAX CIRURGICA COMERCIO D [M2329]
90059171000189,POLI TAPE INDUSTRIA E COMERCIO DE FITAS ADESIVAS LTDA,27,POLI TAPE INDUSTRIA E CO [M2330]
90059171000260,POLI TAPE INDUSTRIA E COMERCIO DE FITAS ADESIVAS LTDA,16,POLI TAPE INDUSTRIA E CO [M2331]
90473216000167,PREVESUL EQUIPAMENTOS E ACESSORIOS PARA SEGURANCA NO TRABALHO LTDA,1,PREVESUL EQUIPAMENTOS E  [M2332]
90607656000160,IODONTEC INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,14,IODONTEC INDUSTRIA E COM [M2333]
90769407000170,ART INOX INDUSTRIA METALURGICA LTDA,29,ART INOX INDUSTRIA METAL [M2334]
90804550000156,METALURGICA BRIAO LTDA,2,METALURGICA BRIAO LTDA [M2335]
90821554000142,NEOGEN DO BRASIL INDUSTRIA E COMERCIO LTDA,2,NEOGEN DO BRASIL INDUSTR [M2336]
90909631000110,INSTRAMED INDUSTRIA MEDICO HOSPITALAR LTDA,30,INSTRAMED INDUSTRIA MEDI [M2337]
91408732000170,INBRAMED-INDUST. BRASILEIRA DE EQUIPTOS. MEDICOS LTDA,1,INBRAMED-INDUST. BRASILE [M2338]
91671792000181,LABORATORIO SAUDE LTDA,1,LABORATORIO SAUDE LTDA [M2339]
91673251001750,FARMACIAS HAMBURGUESA LTDA.,2,FARMACIAS HAMBURGUESA LT [M2340]
92037480000183,FARMAMED PRODUTOS HOSPITALARES LTDA,22,FARMAMED PRODUTOS HOSPIT [M2341]
92265552000140,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA,372,MULTILAB INDUSTRIA E COM [M2342]
92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA,259,MULTILAB INDUSTRIA E COM [M2343]
92670801000182,GEYER MEDICAMENTOS SA,16,GEYER MEDICAMENTOS SA [M2344]
92690999000166,LABORATORIO WESP LTDA,1,LABORATORIO WESP LTDA [M2345]
92695691000103,KLEY HERTZ FARMACEUTICA S.A,91,KLEY HERTZ FARMACEUTICA  [M2346]
92762277000170,VIDORA FARMACEUTICA LTDA,17,VIDORA FARMACEUTICA LTDA [M2347]
92791243000103,IRANI PAPEL E EMBALAGEM S.A.,1,IRANI PAPEL E EMBALAGEM  [M2348]
92832195000154,SALBEGO LABORATORIO FARMACEUTICO LTDA,3,SALBEGO LABORATORIO FARM [M2349]
92928951000143,LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA,12,LABORATORIO INDUSTRIAL F [M2350]
93000917000177,METALURGICA MARINI LTDA,1,METALURGICA MARINI LTDA [M2351]
93185577000104,SCHUSTER COMERCIO DE EQUIPAMENTOS ODONTOLOGICOS LTDA,49,SCHUSTER COMERCIO DE EQU [M2352]
93248979000100,BIO MED PRODUTOS MEDICOS E HOSPITALARES LTDA,2,BIO MED PRODUTOS MEDICOS [M2353]
93410975000179,UTIL QUIMICA INDUSTRIA E COMERCIO LTDA,7,UTIL QUIMICA INDUSTRIA E [M2354]
93480192000161,CIEX DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS CIRURGICOS LTDA,309,CIEX DO BRASIL INDUSTRIA [M2355]
93896397001447,MERCUR S A,11,MERCUR S A [M2356]
94022654000160,LABORATORIO QUIMICO FARMACEUTICO TIARAJU LTDA,1,LABORATORIO QUIMICO FARM [M2357]
94069580000117,MICMMED LTDA.,8,MICMMED LTDA. [M2358]
94132024000148,FREEDOM VEICULOS ELETRICOS LTDA,1,FREEDOM VEICULOS ELETRIC [M2359]
94304672000134,MEDICONE PROJETOS E SOLUCOES PARA A INDUSTRIA E A SAUDE LTDA.,76,MEDICONE PROJETOS E SOLU [M2360]
94311032000151,INDUSTRIA DE COSMETICOS EVIDENCY LTDA,1,INDUSTRIA DE COSMETICOS  [M2361]
94869054000131,LABORATORIOS LIBRA DO BRASIL LTDA,5,LABORATORIOS LIBRA DO BR [M2362]
94876364000183,VIALI ATACADISTA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,VIALI ATACADISTA E DISTR [M2363]
94895232000107,EMBRAMED EQUIPAMENTOS MEDICOS LTDA.,8,EMBRAMED EQUIPAMENTOS ME [M2364]
95422218000140,METALURGICA MOR SA,1,METALURGICA MOR SA [M2365]
95433397000111,COMERCIO DE MATERIAIS MEDICOS HOSPITALARES MACROSUL LTDA,102,COMERCIO DE MATERIAIS ME [M2366]
95799201000107,ADLIN PLASTICOS LTDA,91,ADLIN PLASTICOS LTDA [M2367]
95837316000149,HIGIE PLUS COTTONBABY INDUSTRIA E COMERCIO LTDA,10,HIGIE PLUS COTTONBABY IN [M2368]
96167887000186,PRATA HOSPITALAR LTDA,213,PRATA HOSPITALAR LTDA [M2369]
96260369000102,CELSO LOPES MARTINS PRODUTOS HOSPITALARES LTDA,2,CELSO LOPES MARTINS PROD [M2370]
96261607000102,KIDY BIRIGUI CALCADOS INDUSTRIA E COMERCIO LTDA,6,KIDY BIRIGUI CALCADOS IN [M2371]
96282090000120,DURAMAX INDUSTRIA E COMERCIO LTDA,2,DURAMAX INDUSTRIA E COME [M2372]
97127559000119,MK PRODUTOS PARA SAUDE LTDA,53,MK PRODUTOS PARA SAUDE L [M2373]
97215388000180,LEONARDI COMERCIO DE PRODUTOS PARA SAUDE LTDA,308,LEONARDI COMERCIO DE PRO [M2374]
97520618000114,JG DE MELLO - PINTURAS,3,JG DE MELLO - PINTURAS [M2375]

