fornecedor_id,fornecedor,ocorrencias,rotulo
06194440000103,ODONTOMEDI - PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA,291,ODONTOMEDI - PRODUTOS OD [F0657]
06204131001653,PEROLA DISTRIBUICAO E LOGISTICA S/A,12,PEROLA DISTRIBUICAO E LO [F0658]
06209557000113,AM MEDICAL COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,16,AM MEDICAL COMERCIO DE M [F0659]
06217117000108,ART MEDICAL PRODUTOS MEDICO-HOSPITALARES LTDA,1,ART MEDICAL PRODUTOS MED [F0660]
06230386000104,SOROMED MARILIA LTDA,78,SOROMED MARILIA LTDA [F0661]
06234797000259,EXPRESSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,EXPRESSA DISTRIBUIDORA D [F0662]
06253085000104,NORTEMEDICA COMERCIO E REPRESENTAES LTDA,2,NORTEMEDICA COMERCIO E R [F0663]
06271093009474,DMTOP COMERCIO DE MEDICAMENTOS E COSMETICOS LTDA,8,DMTOP COMERCIO DE MEDICA [F0664]
06276904000120,AD INSTRUMENTOS CIRURGICOS IMPORTACAO E EXPORTACAO LTDA,4,AD INSTRUMENTOS CIRURGIC [F0665]
06282624000125,MEDCEDRAL COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,333,MEDCEDRAL COMERCIO DE PR [F0666]
06283056000187,CW ARTIGOS DO VESTUARIO LTDA,3,CW ARTIGOS DO VESTUARIO  [F0667]
06294126000100,RS - PRODUTOS HOSPITALARES LTDA,2001,RS - PRODUTOS HOSPITALAR [F0668]
06294654000151,HOSPITAL MATERNO INFANTIL DE BARRA MANSA,4,HOSPITAL MATERNO INFANTI [F0669]
06300403000132,N S G COMERCIO LTDA,2,N S G COMERCIO LTDA [F0670]
06347171000178,X-TEC COMERCIO E SERVICOS LTDA,8,X-TEC COMERCIO E SERVICO [F0671]
06356085000121,TECSS - TECNOLOGIA A SERVICO DA SAUDE LTDA,2,TECSS - TECNOLOGIA A SER [F0672]
06366038000169,MAXIMA COMERCIO DE PRODUTOS HOSPITALARES LTDA,42,MAXIMA COMERCIO DE PRODU [F0673]
06539992000106,JORJAO COMERCIO E REPRESENTACAO DE GASES LTDA,1,JORJAO COMERCIO E REPRES [F0674]
06555143000146,TRADE MEDICAL COMERCIO DE MATERIAIS HOSPITALARES LTDA,1,TRADE MEDICAL COMERCIO D [F0675]
06626253000151,EMPREENDIMENTOS PAGUE MENOS S/A,1,EMPREENDIMENTOS PAGUE ME [F0676]
06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,254,FARMACE - INDUSTRIA QUIM [F0677]
06629745000109,NOVAFARMA INDUSTRIA FARMACEUTICA LTDA,5,NOVAFARMA INDUSTRIA FARM [F0678]
06670152000188,MERCURIO - COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,4,MERCURIO - COMERCIO DE P [F0679]
06697493000147,REINALDO PERSONA FARMACIA DE MANIPULACAO LTDA,17,REINALDO PERSONA FARMACI [F0680]
06697493000228,REINALDO PERSONA FARMACIA DE MANIPULACAO LTDA,6,REINALDO PERSONA FARMACI [F0681]
06855234000105,KELY DAIANA DE OLIVEIRA GOMES,4,KELY DAIANA DE OLIVEIRA  [F0682]
06867357000158,DISTRIBUIDORA PARANHOS ARTIGOS PARA LABORATORIOS LTDA,3,DISTRIBUIDORA PARANHOS A [F0683]
06879813000180,SNMED - COMERCIO E REPRESENTACOES LTDA,8,SNMED - COMERCIO E REPRE [F0684]
06881482000112,BIOMED PRODUTOS MEDICOS E HOSPITALARES LTDA,44,BIOMED PRODUTOS MEDICOS  [F0685]
06886136000127,MEDCOM COMERCIO REPRESENTACOES E SERVICOS LTDA,153,MEDCOM COMERCIO REPRESEN [F0686]
06889652000105,AURION EQUIPAMENTOS ELETRONICOS LTDA,2,AURION EQUIPAMENTOS ELET [F0687]
06896871000111,FARMACIA HOLANDA LTDA,13,FARMACIA HOLANDA LTDA [F0688]
06907776000176,SAGRES-PRODUTOS FARMACEUTICOS LIMITADA,4,SAGRES-PRODUTOS FARMACEU [F0689]
06942434000197,FRACAROLI FARMACIA DE MANIPULACAO LTDA,1,FRACAROLI FARMACIA DE MA [F0690]
06948769000112,TECNOCENTER MATERIAIS MEDICOS HOSPITALARES LTDA,7,TECNOCENTER MATERIAIS ME [F0691]
06954360000109,MASTER COMERCIAL LTDA,1,MASTER COMERCIAL LTDA [F0692]
06968107000104,R.A.P.-APARECIDA - COMERCIO DE MEDICAMENTOS LTDA,2335,R.A.P.-APARECIDA - COMER [F0693]
06974929000106,NOROESTE MEDICAMENTOS LTDA,342,NOROESTE MEDICAMENTOS LT [F0694]
06983028000172,S CERON DE OLIVEIRA,4,S CERON DE OLIVEIRA [F0695]
06987995000102,BIOLAR IMPORTACAO E EXPORTACAO LTDA,102,BIOLAR IMPORTACAO E EXPO [F0696]
06990955000110,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA,2,DATHA PRODUTOS ODONTOLOG [F0697]
07009769000209,WANA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,1,WANA INDUSTRIA E COMERCI [F0698]
07014318000170,CISCRE IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA.,1,CISCRE IMPORTACAO E DIST [F0699]
07032320000172,MEDICAL CENTER COMERCIO DE PRODUTOS HOSPITALARES LTDA,20,MEDICAL CENTER COMERCIO  [F0700]
07047086000157,NEWCHEM INDUSTRIA QUIMICA LTDA,1,NEWCHEM INDUSTRIA QUIMIC [F0701]
07055280000184,F WILTON CAVALCANTE MONTEIRO LTDA,257,F WILTON CAVALCANTE MONT [F0702]
07071740000168,FARMACIA IRMAOS NOGUEIRA LTDA,1,FARMACIA IRMAOS NOGUEIRA [F0703]
