instituicao_id,instituicao,ocorrencias,rotulo
03517102000177,FUNDO ESPECIAL DE SAUDE,303,FUNDO ESPECIAL DE SAUDE [I0067]
03518900000113,INSTITUTO CURITIBA DE SAUDE,167,INSTITUTO CURITIBA DE SA [I0068]
03581920000139,FUNDO MUNICIPAL DE SAUDE DE IGUABA GRANDE,230,FUNDO MUNICIPAL DE SAUDE [I0069]
03887256000150,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DO CONTESTADO,681,CONSORCIO INTERMUNICIPAL [I0070]
03961246000118,MUNICIPIO DE ACAUA - SECRETARIA DE SAUDE E DE ASSISTENCIA SOCIAL,30,MUNICIPIO DE ACAUA - SEC [I0071]
04034583000637,MUNICIPIO DE RIO BRANCO,177,MUNICIPIO DE RIO BRANCO [I0072]
04092672000125,MUNICIPIO DE JI-PARANA,77,MUNICIPIO DE JI-PARANA [I0073]
04092680000171,MUNICIPIO DE PIMENTA BUENO,401,MUNICIPIO DE PIMENTA BUE [I0074]
04092714000128,MUNICIPIO DE CACOAL,1139,MUNICIPIO DE CACOAL [I0075]
04128655000109,FUNDO MUNICIPAL DE SAUDE DE PRIMAVERA DE RONDONIA,276,FUNDO MUNICIPAL DE SAUDE [I0076]
04182700000103,FUNDO MUNICIPAL DE SAUDE,2,FUNDO MUNICIPAL DE SAUDE [I0077]
04217860000132,MUNICIPIO DE COQUEIRO BAIXO,102,MUNICIPIO DE COQUEIRO BA [I0078]
04218211000156,MUNICIPIO DE PAU D`ARCO DO PIAUI,112,MUNICIPIO DE PAU D`ARCO  [I0079]
04218960000183,MUNICIPIO DE ARROIO DO PADRE,10,MUNICIPIO DE ARROIO DO P [I0080]
04223191000101,FUNDO MUN.DE SAUDE DE SAO MAMEDE-PB,706,FUNDO MUN.DE SAUDE DE SA [I0081]
04228734000183,FUNDACAO SERVICOS DE SAUDE DE MATO GROSSO DO SUL-SAUDE-MS,679,FUNDACAO SERVICOS DE SAU [I0082]
04266498000190,SECRETARIA MUNICIPAL DE SAUDE,361,SECRETARIA MUNICIPAL DE  [I0083]
04279238000159,MUNICIPIO DE JARU,3247,MUNICIPIO DE JARU [I0084]
04311955000110,FUNDO MUNICIPAL DE SAUDE - MARICA,137,FUNDO MUNICIPAL DE SAUDE [I0085]
04316867000101,FUNDO MUNICPAL DE SAUDE DE ALTO PARAISO,277,FUNDO MUNICPAL DE SAUDE  [I0086]
04326257000199,FUNDACAO MUNICIPAL DE SAUDE DE BITURUNA,448,FUNDACAO MUNICIPAL DE SA [I0087]
04380507000179,MUNICIPIO DE OURO PRETO DO OESTE,548,MUNICIPIO DE OURO PRETO  [I0088]
04384268000125,MUNICIPIO DE CAJAZEIRAS DO PIAUI - SECRETARIA DE SAUDE E PROMOCAO SOCIAL,1,MUNICIPIO DE CAJAZEIRAS  [I0089]
04384829000196,FUNDO ESTADUAL DE SAUDE,63,FUNDO ESTADUAL DE SAUDE [I0090]
04394805000118,MUNICIPIO DE ROLIM DE MOURA,2,MUNICIPIO DE ROLIM DE MO [I0091]
04589955000187,FUNDO MUNICIPAL DE SAUDE DE AQUIDAUANA,2,FUNDO MUNICIPAL DE SAUDE [I0092]
